training_seed,eval_seed,case_id,order_index,method,success,path_length,expanded_nodes,runtime_ms,runtime_p95_ms,timing_repeats
2026,2026,6,1,Neural A*,1,38.35533905029297,29,6.262700000000001,7.0304,2
2026,2026,6,2,iA*,1,36.94112777709961,28,13.4376,15.19809,2
2026,2026,7,0,Neural A*,1,29.28427124023437,22,5.68315,6.265045,2
2026,2026,7,1,iA*,1,27.627416610717773,22,11.7343,11.81422,2
2026,2026,7,2,A*,1,27.627416610717773,22,3.40235,3.700565,2
2026,2026,8,0,iA*,1,32.97056198120117,29,14.3251,14.82154,2
2026,2026,8,1,A*,1,33.55635070800781,31,4.83175,5.342185,2
2026,2026,8,2,Neural A*,1,38.87005615234375,34,6.979,7.46959,2
2026,2026,9,0,A*,1,33.62741470336914,53,7.69925,7.776425,2
2026,2026,9,1,Neural A*,1,36.94112396240234,30,7.2621,8.230500000000001,2
2026,2026,9,2,iA*,1,33.62741470336914,41,15.0983,15.57125,2
3407,2026,0,0,A*,1,35.45584487915039,29,5.0487,5.48142,2
3407,2026,0,1,Neural A*,1,38.284271240234375,43,10.01435,10.929425,2
3407,2026,0,2,iA*,1,35.45584487915039,29,13.90025,14.325185,2
3407,2026,1,0,Neural A*,1,42.284271240234375,58,10.51525,11.784655,2
3407,2026,1,1,iA*,1,41.21319961547852,49,15.93735,16.105695,2
3407,2026,1,2,A*,1,39.79898834228516,60,8.8539,9.65256,2
3407,2026,2,0,iA*,1,33.72792434692383,31,14.4165,15.56004,2
3407,2026,2,1,A*,1,33.72792053222656,31,5.55265,5.653675000000001,2
3407,2026,2,2,Neural A*,1,37.870059967041016,31,6.4833,6.507689999999999,2
3407,2026,3,0,A*,1,30.79899024963379,26,4.5735,5.31204,2
3407,2026,3,1,Neural A*,1,31.627416610717773,26,5.7067,6.18613,2
3407,2026,3,2,iA*,1,30.79899024963379,26,12.92565,13.475235,2
3407,2026,4,0,Neural A*,1,46.0121955871582,102,19.24405,19.637215,2
3407,2026,4,1,iA*,1,47.52690887451172,129,28.4716,28.61128,2
3407,2026,4,2,A*,1,44.35533905029297,205,34.88965,39.454675,2
3407,2026,5,0,iA*,1,31.3847770690918,36,16.39885,17.988835,2
3407,2026,5,1,A*,1,31.3847770690918,45,8.03365,8.473795,2
3407,2026,5,2,Neural A*,1,32.21320343017578,36,7.3346,8.01104,2
3407,2026,6,0,A*,1,36.94112777709961,28,5.7207,7.29723,2
3407,2026,6,1,Neural A*,1,38.35533905029297,29,8.1082,8.39026,2
3407,2026,6,2,iA*,1,36.94112777709961,28,13.173,13.26147,2
3407,2026,7,0,Neural A*,1,29.28427124023437,22,7.30265,7.643885,2
3407,2026,7,1,iA*,1,27.627416610717773,22,13.4499,13.86057,2
3407,2026,7,2,A*,1,27.627416610717773,22,3.2327000000000004,3.28697,2
3407,2026,8,0,iA*,1,32.97056198120117,29,15.6625,16.102149999999998,2
3407,2026,8,1,A*,1,33.55635070800781,31,6.8326,8.10124,2
3407,2026,8,2,Neural A*,1,38.87005615234375,34,6.738099999999999,7.10116,2
3407,2026,9,0,A*,1,33.62741470336914,53,9.6397,10.14712,2
3407,2026,9,1,Neural A*,1,36.94112396240234,30,6.854100000000001,7.628010000000001,2
3407,2026,9,2,iA*,1,33.62741470336914,41,16.3241,17.72117,2
