training_seed,eval_seed,case_id,order_index,method,success,path_length,expanded_nodes,runtime_ms,runtime_p95_ms,timing_repeats
1234,2026,0,0,A*,1,35.45584487915039,29,5.14295,5.8447249999999995,2
1234,2026,0,1,Neural A*,1,38.284271240234375,43,8.0982,8.478810000000001,2
1234,2026,0,2,iA*,1,35.45584487915039,29,13.03955,13.661585,2
1234,2026,1,0,Neural A*,1,42.284271240234375,58,9.6741,9.84852,2
1234,2026,1,1,iA*,1,41.213199615478516,49,16.720750000000002,17.224255,2
1234,2026,1,2,A*,1,39.798988342285156,60,9.065,9.32087,2
1234,2026,2,0,iA*,1,33.72792434692383,31,14.0791,14.6938,2
1234,2026,2,1,A*,1,33.72792053222656,31,4.5504999999999995,4.6954899999999995,2
1234,2026,2,2,Neural A*,1,37.870059967041016,31,6.89925,7.845825,2
1234,2026,3,0,A*,1,30.79899024963379,26,4.6782,5.13864,2
1234,2026,3,1,Neural A*,1,31.627416610717773,26,7.6880500000000005,8.041435,2
1234,2026,3,2,iA*,1,30.79899024963379,26,12.864799999999999,14.57669,2
1234,2026,4,0,Neural A*,1,46.0121955871582,102,17.8788,18.56649,2
1234,2026,4,1,iA*,1,47.52690887451172,129,29.0524,29.453169999999997,2
1234,2026,4,2,A*,1,44.35533905029297,205,29.40165,29.857995,2
1234,2026,5,0,iA*,1,31.384777069091797,36,16.1891,17.036270000000002,2
1234,2026,5,1,A*,1,31.384777069091797,45,6.5097000000000005,6.5113199999999996,2
1234,2026,5,2,Neural A*,1,32.21320343017578,36,7.5235,8.664250000000001,2
1234,2026,6,0,A*,1,36.94112777709961,28,4.9425,5.640899999999999,2
1234,2026,6,1,Neural A*,1,38.35533905029297,29,6.28825,6.837025,2
1234,2026,6,2,iA*,1,36.94112777709961,28,14.7011,15.20753,2
1234,2026,7,0,Neural A*,1,29.284271240234375,22,5.0794,5.52247,2
1234,2026,7,1,iA*,1,27.627416610717773,22,14.03615,14.346965,2
1234,2026,7,2,A*,1,27.627416610717773,22,3.4206,3.57135,2
1234,2026,8,0,iA*,1,32.97056198120117,29,13.390699999999999,13.86563,2
1234,2026,8,1,A*,1,33.55635070800781,31,4.9658999999999995,5.36217,2
1234,2026,8,2,Neural A*,1,38.87005615234375,34,6.73185,7.049685,2
1234,2026,9,0,A*,1,33.62741470336914,53,8.3652,8.89773,2
1234,2026,9,1,Neural A*,1,36.941123962402344,30,7.4163,8.3217,2
1234,2026,9,2,iA*,1,33.62741470336914,41,18.04855,18.496254999999998,2
